"id","date","polity","event","confidence","core_sources","modern_direction","cause","consequence","target","evidence_type","source_locator","source_caveat","tier"
"EH-0220-CAO-CAO-DEATH","建安二十五年正月（220年）","献帝朝廷与曹魏集团","曹操去世，曹丕继承魏王位并控制汉廷军政机构","卒年与继承事实可靠；遗令执行、继承协商和各地反应有争议","《三国志·武帝纪》；《三国志·文帝纪》；《后汉书·献帝纪》","曹操身后继承、魏王国与汉廷空壳化研究","曹操已以魏王国掌握北方资源和朝廷诏令，其死亡迫使曹氏迅速证明继承与军队控制的连续性","曹丕顺利接管魏国，为迫使献帝禅位扫除最大内部障碍，东汉皇统仅余形式性地位","chapters/three-kingdoms/wei-foundation-and-regency.tex","retrospective_history","《三国志·武帝纪》；《三国志·文帝纪》；《后汉书·献帝纪》","卒年与继承事实可靠；遗令执行、继承协商和各地反应有争议","A"
"EH-0220-HAN-ABDICATION","延康元年十月（220年）","东汉与曹魏","献帝禅位于曹丕，曹丕建魏，东汉皇帝继承体系终结","禅代年月可靠；诏册撰作、群臣参与和“自愿”性质有争议","《后汉书·献帝纪》；《三国志·文帝纪》；《资治通鉴》卷六十九","汉魏禅代、礼仪文书与正统叙事研究","曹丕已继承魏王军政资源并控制献帝朝廷，以受禅礼仪将事实上的权力转移包装为合法改朝","东汉作为中央王朝结束；蜀汉与孙吴不承认魏的统一权威，汉末危机转入三国并立与正统竞争","chapters/three-kingdoms/wei-foundation-and-regency.tex","retrospective_history","《后汉书·献帝纪》；《三国志·文帝纪》；《资治通鉴》卷六十九","禅代年月可靠；诏册撰作、群臣参与和“自愿”性质有争议","A"
"TK-0220-WEI-LUOYANG","黄初元年（220年）","曹魏","曹丕定都洛阳，以魏的尚书、禁军和北方仓储网络承接汉末朝廷","定都事实可靠；汉魏洛阳城的宫城复用、营建节奏与人口规模须由遗址分期核验","《三国志·文帝纪》；《三国志·明帝纪》；《资治通鉴》魏纪","魏初都城、汉魏洛阳城与北方行政网络研究","受禅后的新政权需要脱离许县的战时行营格局，并把控制华北的军政机构置于旧东汉都城","洛阳成为魏及其后西晋的政治枢纽；都城选择将中原漕运、宫廷警卫和北方士族任用重新连结","chapters/three-kingdoms/wei-foundation-and-regency.tex","retrospective_history","《三国志·文帝纪》；《三国志·明帝纪》；《资治通鉴》魏纪","定都事实可靠；汉魏洛阳城的宫城复用、营建节奏与人口规模须由遗址分期核验","C"
"TK-0221-SHU-HAN-FOUNDATION","章武元年四月（221年）","蜀汉","刘备在成都即皇帝位，建元章武，以汉室继承者自居","即位年月可靠；国号称谓、礼仪细节及其对各地实际承认的效力有争议","《三国志·先主传》；《三国志·后主传》；《华阳国志·刘先主志》","蜀汉建国、正统表述与益州政权整合研究","曹丕代汉后，刘备须将汉中王政权转为能够动员益州官民的皇帝体制，并回应关羽败亡后的合法性危机","成都朝廷形成与魏相竞争的汉统主张；其可用资源仍主要限于益州和汉中，称帝并未恢复荆州","chapters/three-kingdoms/shu-han-state-and-expeditions.tex","retrospective_history","《三国志·先主传》；《三国志·后主传》；《华阳国志·刘先主志》","即位年月可靠；国号称谓、礼仪细节及其对各地实际承认的效力有争议","A"
"TK-0221-LIU-BEI-EASTWARD","章武元年（221年）","蜀汉与孙吴","刘备集结益州军东下，准备以夺回荆州和为关羽报仇为由进攻孙吴","出兵方向可靠；兵力、动机轻重及张飞遇害对战局的影响有争议","《三国志·先主传》；《三国志·张飞传》；《三国志·陆逊传》","夷陵战前动员、荆州归属与蜀汉军事决策研究","孙权夺取荆州并杀关羽，既切断蜀汉东部通道，也使刘备面临集团内部的复仇和领土诉求","蜀军离开益州山地防线进入长江中游，孙刘共同抗魏的联盟关系被战争取代","chapters/three-kingdoms/three-kingdoms-warfare-and-diplomacy.tex","retrospective_history","《三国志·先主传》；《三国志·张飞传》；《三国志·陆逊传》","出兵方向可靠；兵力、动机轻重及张飞遇害对战局的影响有争议","B"
"TK-0222-WEI-INVESTS-SUN-QUAN","黄初三年（222年）","曹魏与孙权集团","曹丕册封孙权为吴王，试图以册命、质子要求和荆州牧名义约束长江下游政权","册封事实可靠；质子交涉的先后、封授实际约束力与孙权的受命姿态有争议","《三国志·吴主传》；《三国志·文帝纪》；《资治通鉴》魏纪","魏—吴册封关系、质子外交与长江政治研究","魏在刘备东征时希望利用孙刘冲突，以名义封授换取孙权承认北方皇帝和交出人质","孙权暂借魏的封号牵制蜀汉而未交出统治权；魏吴间的宗藩语言很快让位于边境战争","chapters/three-kingdoms/sun-wu-state-and-south.tex","retrospective_history","《三国志·吴主传》；《三国志·文帝纪》；《资治通鉴》魏纪","册封事实可靠；质子交涉的先后、封授实际约束力与孙权的受命姿态有争议","B"
"TK-0222-YILING","章武二年（222年）","蜀汉与孙吴","陆逊统吴军在夷陵、猇亭一线击破刘备，蜀军沿长江退向白帝","胜负与大致地点可靠；火攻展开、伤亡、营垒长度和陆逊受权过程有争议","《三国志·先主传》；《三国志·陆逊传》；《三国志·吴主传》；《资治通鉴》魏纪","夷陵之战、长江峡谷战场与孙刘联盟破裂研究","刘备军深入荆州后补给线拉长且营垒连结，孙权以陆逊统合江东将领并等待蜀军疲敝","蜀汉失去夺回荆州的机会并元气受损；孙吴守住上游屏障，魏无法再期待孙刘相互消灭后立即接收南方","chapters/three-kingdoms/three-kingdoms-warfare-and-diplomacy.tex","retrospective_history","《三国志·先主传》；《三国志·陆逊传》；《三国志·吴主传》；《资治通鉴》魏纪","胜负与大致地点可靠；火攻展开、伤亡、营垒长度和陆逊受权过程有争议","C"
"TK-0223-LIU-BEI-DEATH","章武三年四月（223年）","蜀汉","刘备在永安去世，刘禅继位，诸葛亮受遗诏辅政","卒年、继位和辅政事实可靠；遗诏措辞、永安部署及刘备病因有争议","《三国志·先主传》；《三国志·后主传》；《三国志·诸葛亮传》","蜀汉继承、永安托孤与丞相辅政研究","夷陵败退后刘备驻永安，蜀汉既须防孙吴又须避免益州内部在皇帝更替时分裂","年幼的刘禅继位而诸葛亮掌理军政，蜀汉将从复仇性东征转向修复联盟、安定南中和守卫汉中","chapters/three-kingdoms/shu-han-state-and-expeditions.tex","retrospective_history","《三国志·先主传》；《三国志·后主传》；《三国志·诸葛亮传》","卒年、继位和辅政事实可靠；遗诏措辞、永安部署及刘备病因有争议","A"
"TK-0223-SHU-WU-RECONCILIATION","建兴元年（223年）","蜀汉与孙吴","邓芝奉使孙吴，孙权重新与蜀汉通好，双方恢复共同抗魏的外交框架","遣使和通好结果可靠；盟约条款、使节言辞及实际协同程度有争议","《三国志·邓芝传》；《三国志·吴主传》；《三国志·诸葛亮传》","邓芝使吴、孙刘复盟与三国外交研究","夷陵后蜀汉孤立而魏已在淮汉方向施压，孙权也不能接受魏以册封和人质要求持续干预江东","长江上游战线暂获稳定，蜀汉可转向南中和汉中；联盟仍未消除荆州归属造成的结构性裂痕","chapters/three-kingdoms/three-kingdoms-warfare-and-diplomacy.tex","retrospective_history","《三国志·邓芝传》；《三国志·吴主传》；《三国志·诸葛亮传》","遣使和通好结果可靠；盟约条款、使节言辞及实际协同程度有争议","C"
"TK-0224-CAO-PI-GUANGLING","黄初五年（224年）","曹魏与孙吴","曹丕至广陵观察南征，因长江冰冻、舟师与渡江条件不具而撤军","行幸广陵与撤军可靠；冰情、军队规模和曹丕战略意图有争议","《三国志·文帝纪》；《三国志·吴主传》；《资治通鉴》魏纪","曹丕广陵南征、长江环境与魏吴边防研究","魏欲趁孙吴与蜀汉刚恢复关系的脆弱阶段试探渡江，却缺少熟悉江面的水军和稳定前进基地","长江水文和舟师能力限制魏的南下计划，三国对峙不仅取决于兵额，也受季节和交通技术制约","chapters/three-kingdoms/three-kingdoms-warfare-and-diplomacy.tex","retrospective_history","《三国志·文帝纪》；《三国志·吴主传》；《资治通鉴》魏纪","行幸广陵与撤军可靠；冰情、军队规模和曹丕战略意图有争议","A"
