id,date,polity,event,confidence,core_sources,modern_direction,cause,consequence,target
SA-0770-EAST,"前770年",东周,"平王东迁洛邑",可靠纪年,"史记·周本纪；竹书纪年；诗经小雅","东周初年合法性与西周崩溃研究","镐京危机与平王继位","周退为名分中心","common/chronology-770-632.tex"
SA-0722-CHUNQIU,"前722年",鲁,"鲁隐公元年，《春秋》经文开始",可靠纪年,"春秋·隐公元年；左传、公羊传、谷梁传相关传文","春秋经的鲁国档案基础、编纂层次与孔子修经传统研究","鲁国以王正月编年并保存诸侯交往记录","提供春秋最稳定的连续年次，同时限定后人观看列国的鲁国视角","states/lu-zheng-song/central-plains.tex"
SA-0770-QIN-ENFEOFF,"前770年前后",秦与东周,"秦襄公护送平王东迁并获封岐西",传统年表较可靠,"史记·秦本纪；周本纪","早期秦与关中边疆研究","东迁需护卫，周失去关中直接控制","秦取得关中经营的名分与任务","states/qin/western-rise.tex"
SA-0707-XUGE,"前707年",周与郑,"繻葛之战，王师败绩",可靠纪年,"春秋·桓公五年；左传·隐公三年、桓公五年；史记·郑世家","周郑质子、麦禾争端与《左传》叙事层次研究","郑国卿士地位、近畿资源与周郑质子及麦禾争端累积为冲突","王室军事权威受挫；诸侯以近畿军政资源抗拒王命的可能更为显见","common/chronology-770-632.tex"
SA-0704-CHU-KING,"约前704年",楚,"熊通自立为楚武王",传统年表较可靠,"史记·楚世家；左传相关追述","楚王号与夷夏政治语言研究","楚拥有江汉资源与独立政治能力","楚成为北方霸权必须面对的大国","states/chu/southern-power.tex"
SA-0685-QIHUAN,"前685年",齐,"齐桓公即位，管仲入齐",可靠纪年,"左传庄公九年；国语·齐语；史记·齐太公世家","管子文本层次与齐国组织研究","齐国内乱后权力重建","齐霸的组织基础","states/qi/hegemony.tex"
SA-0656-SHAOLING,"前656年",齐与楚,"召陵之盟",可靠纪年,"春秋僖公四年；左传僖公四年；国语·齐语","霸权外交与礼仪政治研究","齐主导联盟南下，楚与周礼关系争议","齐霸达到南向高点，楚未真正臣服","states/qi/hegemony.tex"
SA-0651-KUIQIU,"前651年",齐与诸侯,"葵丘之会",可靠纪年,"春秋僖公九年；左传僖公九年；史记","齐桓公霸权研究","齐会盟体系成熟","齐霸制度化顶点","states/qi/hegemony.tex"
SA-0643-QIHUAN-DEATH,"前643年",齐,"齐桓公死，诸子争位",可靠纪年,"左传僖公十七年；史记","霸权继承危机研究","齐霸个人与联盟依赖高","齐霸迅速衰落","states/qi/hegemony.tex"
SA-0636-JIN-WEN,"前636年",晋,"重耳返晋为文公",可靠纪年,"左传僖公二十四年；史记·晋世家","流亡者网络与霸权研究","长期流亡形成跨国关系","晋在城濮前获得联盟条件","states/jin/expansion-and-factions.tex"
SA-0632-CHENGPU,"前632年",晋与楚,"城濮之战",可靠纪年,"春秋僖公二十八年；左传僖公二十八年；史记晋世家楚世家","左传退三舍叙事研究","晋文公联盟与楚方政治条件","晋楚两极格局形成","common/chronology-770-632.tex"
