id,date,polity,event,confidence,core_sources,modern_direction,cause,consequence,target
WQ-0453-ZHI,"前453年",韩赵魏与智氏,"三家灭智",可靠纪年,"资治通鉴卷一；史记赵世家魏世家韩世家","晋国卿族政治研究","晋卿族长期分权","晋实分，战国格局起点","common/chronology-453-350.tex"
WQ-0403-THREEJIN,"前403年",周与韩赵魏,"周威烈王册命三晋",可靠纪年,"资治通鉴卷一；史记六国年表","周王室名分与既成事实研究","三家掌握实际资源","旧封建名分正式追认新国家","common/chronology-453-350.tex"
WQ-0408-WEI,"前408年前后",魏,"魏文侯用李悝、吴起等",年代与细节有争议,"史记魏世家；法经传统；吕氏春秋等","李悝与法经归属研究","魏处中原竞争压力","早期法政军事改革样本","states/wei/early-reforms.tex"
WQ-WEI-WUQI,"魏文侯武侯时期",魏,"吴起训练魏武卒",年代与细节有争议,"史记孙子吴起列传；吴子","魏武卒与战国军事组织研究","魏需稳定军政动员","魏军早期战力提高","states/wei/early-reforms.tex"
WQ-0386-TIANQI,"前386年",齐,"田氏代齐获周册命",可靠纪年,"史记田敬仲完世家；资治通鉴","田氏代齐与战国合法性研究","齐国姜氏衰落、田氏积累","家族夺国成为战国现实","states/qi/jixia-and-collapse.tex"
WQ-0381-WUQI-CHU,"前381年前后",楚,"吴起在楚变法",年代与细节有争议,"史记孙子吴起列传；吕氏春秋","吴起楚变法与贵族抵抗研究","楚疆域大、旧贵族强","改革受反弹，显示制度依赖政治联盟","states/chu/wu-qi-and-southern-state.tex"
WQ-0375-HAN,"前375年",韩,"韩灭郑",可靠纪年,"史记韩世家；资治通鉴","战国小国扩张研究","郑国衰弱、韩国东进","韩国形成相对完整领土","states/han/shen-buhai.tex"
WQ-0354-SHENBUHAI,"约前354—前337年",韩,"申不害相韩",王年较可靠细节有争议,"史记韩世家；韩非子；申子辑佚","申不害与韩国行政技术研究","小国处于强邻间需提高行政效率","形名考核成为后世行政思想资源","states/han/shen-buhai.tex"
WQ-0362-WEIQIN,"前362年",魏与秦,"少梁之战及魏秦竞争",可靠纪年,"史记魏世家；秦本纪","河西与关中东部地理研究","魏据中原与河西通道，秦在东向竞争中受压","秦孝公时期重组军政与基层控制的外部压力","states/qin/shang-yang-and-qin.tex"
WQ-0356-SHANGYANG,"前356年",秦,"商鞅第一次变法",可靠纪年,"史记商君列传；商君书；睡虎地、里耶秦简参照","商鞅跨国经历、商君书成书与秦制形成研究","秦孝公授权、关中资源、强邻竞争与旧贵族关系共同构成改革条件","军功、编户、连坐等重组形成制度路径，须与后续统治和战争条件合看","states/qin/shang-yang-and-qin.tex"
WQ-0354-GUILIN,"前354年",齐魏赵,"围魏救赵、桂陵之战",可靠纪年,"史记孙子吴起列传；战国策","孙膑叙事与齐魏竞争研究","魏围赵，齐介入","齐显示东部军事影响","states/wei/early-reforms.tex"
WQ-0350-QINREFORM,"前350年",秦,"迁都咸阳与第二次变法",可靠纪年,"史记商君列传；秦本纪；秦简参照","秦县制、咸阳与度量衡制度形成研究","改革推进后需将政治中心、县邑、田界与尺度纳入更稳定的行政网络","行政、土地与市场管理的制度路径加强；秦简只能旁证后来的成熟运行","states/qin/shang-yang-and-qin.tex"
WQ-0342-MALING,"前342年",齐魏,"马陵之战",可靠纪年,"史记孙子吴起列传；战国策","孙膑庞涓传统研究","魏扩张与齐魏竞争","魏霸权受挫，齐强盛","states/wei/early-reforms.tex"
WQ-0334-KINGS,"前334年",齐魏,"齐魏互称王",可靠纪年,"史记魏世家齐世家","王号政治研究","周名分弱化","各国公开竞争最高称号","common/chronology-349-256.tex"
WQ-0325-QI-CHU,"前325年前后",齐楚等,"诸国相继称王",年代有细节差异,"史记六国年表","王号扩散研究","齐魏称王示范","周天子中心进一步空洞化","common/chronology-349-256.tex"
WQ-0317-YAN,"前317年",燕,"燕国子之之乱",可靠纪年,"史记燕召公世家；战国策","燕国内乱与齐伐燕研究","燕继承与权力移交危机","齐后来伐燕的条件","states/yan/northern-strategy.tex"
WQ-0314-QI-YAN,"前314年",齐与燕,"齐伐燕",可靠纪年,"史记齐太公世家；孟子","孟子齐伐燕材料研究","燕乱、齐干预","齐扩张与外交反弹","states/qi/jixia-and-collapse.tex"
WQ-YAN-ZHAO,"前312—前279年",燕,"燕昭王蓄力与招纳人才",王年可靠细节多为后叙,"史记燕召公世家；乐毅列传；战国策","燕昭王求贤叙事与北方国家研究","齐伐燕留下国耻与资源压力","燕伐齐的组织条件","states/yan/northern-strategy.tex"
WQ-0307-HUFU,"前307年",赵,"胡服骑射",可靠纪年,"史记赵世家；战国策","赵武灵王改革研究","北方边境军事压力","骑兵与边疆战略调整","states/zhao/riding-and-changping.tex"
WQ-0295-SHAQIU,"前295年",赵,"沙丘之乱，赵武灵王死",可靠纪年,"史记赵世家；资治通鉴","赵国继承与内禅研究","内禅与王室权力分配失败","改革后国家战略遭继承危机打断","states/zhao/riding-and-changping.tex"
WQ-0293-YIQUE,"前293年",秦韩魏,"伊阙之战",可靠纪年,"史记秦本纪；白起列传","伊阙地理与秦东进研究","秦向东通道竞争","韩魏受重创","common/chronology-349-256.tex"
WQ-0284-QI,"前284年",燕齐,"乐毅伐齐，齐国大败",可靠纪年,"史记乐毅列传、田单列传","燕齐战争与联盟研究","齐外交孤立，燕求复仇","齐霸权受断裂，燕短暂强盛","states/qi/jixia-and-collapse.tex"
WQ-0279-TIANDAN,"前279年前后",齐,"田单复齐",年代有细节差异,"史记田单列传","田单叙事的文学性研究","燕占领难以整合齐地","齐恢复但国力结构变化","states/qi/jixia-and-collapse.tex"
QIN-0222-YAN,"前222年",秦与燕,"秦灭燕辽东残余",可靠纪年,"史记秦始皇本纪；六国年表","秦统一战争研究","燕国主力已败退辽东","燕退出战国","states/yan/northern-strategy.tex"
WQ-0260-CHANGPING,"前260年",秦赵,"长平之战",可靠纪年,"史记白起王翦列传、赵世家；资治通鉴","长平数字与战国后勤研究","上党争夺、赵秦长期对峙","赵精锐受损，秦统一门槛下降","states/zhao/riding-and-changping.tex"
WQ-0256-ZHOUDIE,"前256年",秦与东周,"东周亡",可靠纪年,"史记周本纪、秦本纪","周室残余与战国名分研究","周室长期失去实权","共主实体消失","states/zhou/last-court.tex"
QIN-0230-UNIFICATION,"前230—前221年",秦与六国,"秦先后灭六国",可靠纪年,"史记秦始皇本纪、六国年表","秦统一战争与外交研究","秦制度能力、六国难协同","统一帝国建立","states/qin/conquest-and-empire.tex"
QIN-0230-HAN,"前230年",秦与韩,"秦灭韩",可靠纪年,"史记秦始皇本纪；六国年表","秦统一战争研究","韩国地缘脆弱且已受秦长期压迫","统一战争正式开始","states/qin/conquest-and-empire.tex"
QIN-0228-ZHAO,"前228年",秦与赵,"秦破赵都，赵王迁被俘",可靠纪年,"史记秦始皇本纪；赵世家","赵末年与秦赵战争研究","长平后赵国国力难复","赵主体覆亡，代地残余续存","states/qin/conquest-and-empire.tex"
QIN-0225-WEI,"前225年",秦与魏,"王贲引水灌大梁，魏亡",可靠纪年,"史记秦始皇本纪；魏世家","大梁水攻与战国城防研究","秦需突破魏都城与中原水网","魏亡，秦进入中原腹地","states/qin/conquest-and-empire.tex"
QIN-0223-CHU,"前223年",秦与楚,"秦灭楚",可靠纪年,"史记秦始皇本纪；楚世家；六国年表","王翦伐楚与兵力数字争议","楚疆域大、抵抗持久","最大南方对手退出","states/qin/conquest-and-empire.tex"
QIN-0222-YAN,"前222年",秦与燕,"秦灭燕辽东残余",可靠纪年,"史记秦始皇本纪；六国年表","秦统一战争研究","燕败退辽东后仍存残余","燕退出战国","states/yan/northern-strategy.tex"
QIN-0221-QI,"前221年",秦与齐,"齐降秦，六国尽亡",可靠纪年,"史记秦始皇本纪；齐世家","齐末外交与统一研究","齐长期孤立、未能联合抗秦","秦完成统一，帝制开始","states/qin/conquest-and-empire.tex"
QIN-0213-EMPIRE,"前213—前210年",秦,"统一后高强度治理",可靠纪年,"史记秦始皇本纪；睡虎地、里耶秦简","秦帝国行政与法律研究","统一后标准化和动员需求","中心压力集中化","states/qin/conquest-and-empire.tex"
